"","state","county","Biden","Trump","cases","cases_avg","cases_avg_per_100k","deaths","deaths_avg","deaths_avg_per_100k","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","retail_recreation","grocery_pharmacy","parks","transit","workplace","residential"
"1","Arizona","apache",23293,11442,36,21.71,30.21,3,0.71,0.99,2,2,1,3,1,0,0,0,-11.2903225806452,-9.32258064516129,29.258064516129,-1.90322580645161,-24.8709677419355,8.03225806451613
"2","Arizona","cochise",23732,35557,0,15.71,12.48,0,0.29,0.23,2,2,1,3,1,0,0,0,-17.0322580645161,-11.0645161290323,-19.1935483870968,-3.67741935483871,-24.4838709677419,4.58064516129032
"3","Arizona","coconino",44698,27052,41,49.86,34.75,0,0.29,0.2,2,2,1,3,1,0,0,0,4.54838709677419,9.64516129032258,77.1935483870968,16.1935483870968,-20.5161290322581,8.67741935483871
"4","Arizona","gila",8943,18377,42,18.14,33.59,0,0.29,0.53,2,2,1,3,1,0,0,0,5.12903225806452,12.7741935483871,34.0645161290323,NA,-14.1290322580645,3.29032258064516
"5","Arizona","graham",4034,10749,24,20.71,53.34,2,0.43,1.1,2,2,1,3,1,0,0,0,-7.19354838709677,-7.76923076923077,NA,NA,-19.0645161290323,4.72727272727273
"6","Arizona","greenlee",1182,2433,0,0.5,5.26,0,0,0,2,2,1,3,1,0,0,0,NA,NA,NA,NA,NA,NA
"7","Arizona","la paz",2236,5129,2,2,9.48,1,0.14,0.68,2,2,1,3,1,0,0,0,-40.2258064516129,-35.2941176470588,-62.8387096774194,-3.09677419354839,-43.7741935483871,3.04545454545455
"8","Arizona","maricopa",1040774,995665,890,813.71,18.14,25,11,0.25,2,2,1,3,1,0,0,0,-19.3870967741935,-11.6129032258065,-19.7096774193548,-28,-31.6129032258065,8.48387096774194
"9","Arizona","mohave",24831,78535,85,32.14,15.15,2,1,0.47,2,2,1,3,1,0,0,0,-4.96774193548387,1.45161290322581,8.58064516129032,17.3870967741935,-16.6129032258065,3.87096774193548
"10","Arizona","navajo",23383,27657,34,38.86,35.03,2,0.71,0.64,2,2,1,3,1,0,0,0,9.51612903225806,8.48387096774194,61.0967741935484,30.2903225806452,-11.0967741935484,5.09677419354839
"11","Arizona","pima",304981,207758,227,205.43,19.62,4,1.43,0.14,2,2,1,3,1,0,0,0,-21.8387096774194,-15.2258064516129,-25.4838709677419,-24.9354838709677,-27.8387096774194,8
"12","Arizona","pinal",75106,107077,102,68.57,14.82,0,1.57,0.34,2,2,1,3,1,0,0,0,-16.3548387096774,-8.80645161290323,-38.2903225806452,-4.03225806451613,-29.9354838709677,5.58064516129032
"13","Arizona","santa cruz",13138,6194,12,11.86,25.5,0,0,0,2,2,1,3,1,0,0,0,-34.9032258064516,-30.7272727272727,-23.4838709677419,-10.3225806451613,-28.1612903225806,6.70967741935484
"14","Arizona","yavapai",49602,91527,23,27.14,11.55,0,0.43,0.18,2,2,1,3,1,0,0,0,-4.29032258064516,3.80645161290323,25.5806451612903,25.7096774193548,-19.6774193548387,3.7741935483871
"15","Arizona","yuma",32210,36534,30,57.29,26.8,1,0.71,0.33,2,2,1,3,1,0,0,0,-28.4193548387097,-20.4193548387097,-32.6774193548387,-15.5161290322581,-33.7096774193548,5
"16","Florida","alachua",89704,50972,82,92.29,34.3,0,0.57,0.21,1,1,1,0,1,2,0,0,-23.4516129032258,-9.09677419354839,-27.3548387096774,-31.9032258064516,-24.9032258064516,8.19354838709677
"17","Florida","baker",2037,11911,8,8.71,29.83,0,0.71,2.45,1,1,1,0,1,2,0,0,2.06451612903226,5.69230769230769,NA,NA,-16.6774193548387,2.09090909090909
"18","Florida","bay",25614,66097,74,36.43,20.85,0,0.29,0.16,1,1,1,0,1,2,0,0,0.67741935483871,8.25806451612903,40.1290322580645,-8.25806451612903,-13.7741935483871,2.38709677419355
"19","Florida","bradford",3160,10334,3,3,10.64,0,0,0,1,1,1,0,1,2,0,0,-15.9354838709677,4.29032258064516,NA,NA,-19.4838709677419,2.95454545454545
"20","Florida","brevard",148549,207883,146,112.14,18.63,3,1.43,0.24,1,1,1,0,1,2,0,0,-18.6774193548387,-11.9032258064516,-11.6451612903226,-17.7741935483871,-23.9032258064516,5.93548387096774
"21","Florida","broward",618752,333409,503,517.29,26.49,1,1.71,0.09,1,1,1,0,1,2,0,0,-26.0967741935484,-17.5161290322581,-32.7096774193548,-46.1290322580645,-30.1612903225806,10.5483870967742
"22","Florida","calhoun",1209,5274,1,3.86,27.35,0,0,0,1,1,1,0,1,2,0,0,NA,NA,NA,NA,NA,NA
"23","Florida","charlotte",42273,73243,38,31.86,16.86,0,0.57,0.3,1,1,1,0,1,2,0,0,-23.258064516129,-11.5161290322581,-36.4516129032258,-18.6774193548387,-25.1612903225806,2.83870967741935
